tool,category,available,exit_code,command,output_file,duration_s,used_for,grading_value,note
rocminfo,system_management,True,0,rocminfo,/home/jovyan/localdoc-agent-amd-ai/results/rocminfo.txt,0.028,Report ROCm system information and enumerate GPU agents,环境确认：GPU 名称、gfx 架构、ROCm 栈,ok
amd-smi list,system_management,True,0,amd-smi list,/home/jovyan/localdoc-agent-amd-ai/results/amd_smi_list.txt,0.131,List AMD GPUs visible to AMD SMI,环境确认：AMD GPU 是否可见,ok
amd-smi static,system_management,True,0,amd-smi static,/home/jovyan/localdoc-agent-amd-ai/results/amd_smi_static.txt,0.154,Collect static GPU and driver properties,环境确认：GPU 型号、驱动、固件/硬件信息,ok
amd-smi metric,system_management,True,0,amd-smi metric,/home/jovyan/localdoc-agent-amd-ai/results/amd_smi_metric.txt,0.143,"Collect live GPU utilization, power, temperature, and memory metrics",能效分析：功耗、温度、利用率、显存,ok
rocm-smi,system_management,True,0,rocm-smi --showproductname --showpower --showmeminfo vram --showclocks --showuse --showtemp,/home/jovyan/localdoc-agent-amd-ai/results/rocm_smi_performance.txt,0.066,"Collect ROCm SMI power, clocks, VRAM, temperature, and utilization",能效分析：兼容旧 ROCm 环境的 GPU 资源/功耗证据,ok
rocm-bandwidth-test,performance,False,,rocm-bandwidth-test,/home/jovyan/localdoc-agent-amd-ai/results/rocm_bandwidth_test.txt,,Measure CPU-GPU and GPU-GPU transfer bandwidth,性能检测：数据搬运带宽和统一内存/主机设备传输瓶颈,COMMAND NOT FOUND: rocm-bandwidth-test or rocm_bandwidth_test
rocprofiler tools,performance,True,rocprofv3:0;rocprofv3_help:0;rocprof_compute:missing;rocprof_sys:missing;rocprof_legacy:missing;rocprofv2_legacy:missing,rocprofv3/rocprof-compute/rocprof-sys help and version probes,/home/jovyan/localdoc-agent-amd-ai/results/rocprofiler_tools.txt,,"Probe rocprofv3, rocprof-compute, rocprof-sys, and legacy profiler CLIs",调优工具链：确认 profiler 是否可用,profiler tools probed
rocprofv3 probe,performance,True,0,rocprofv3 --runtime-trace --kernel-trace --memory-copy-trace --stats --summary --output-format csv --output-directory /home/jovyan/localdoc-agent-amd-ai/results/rocprofv3_probe -- /usr/bin/python3 /tmp/tmp6w3wyvg8_rocprofv3_probe.py,/home/jovyan/localdoc-agent-amd-ai/results/rocprofiler_run.txt,1.807,Run a small ROCm PyTorch matmul under rocprofv3 when available,调优证据：HIP runtime、kernel、memory copy trace,rocprofv3 probe completed
