mode,ingest_time_s,query_time_s,total_time_s,answer_length,chunks_ingested,model_name,model_id,device,torch_cuda_available,torch_hip_version,rocm_tensor_probe_ok,rocm_tensor_probe_note,is_rocm_runtime_detected,is_local_llm,is_amd_hardware_benchmark,note
extractive,0.0009,0.0006,0.0015,216,8,N/A,N/A,cpu,False,N/A,False,N/A,False,False,False,Extractive mode; not LLM. Not AMD hardware benchmark.
local_llm_qwen3,0.0015,15.259,15.2605,72,8,Qwen3-1.7B,Qwen/Qwen3-1.7B,cuda,True,7.12.60610-2bd1678d3d,True,ok 14.0,True,True,False,Local LLM inference; device column records CPU/ROCm GPU execution. Not NPU benchmark.
